Date,net income (millions)
2010-2-15,95
2010-5-15,129
2010-8-15,131
2010-11-15,251
2011-2-15,233
2011-5-15,240
2011-8-15,227
2011-11-15,302
2012-2-15,205
2012-5-15,-157
2012-8-15,-59
2012-11-15,64
2013-2-15,219
2013-5-15,333
2013-8-15,425
2013-11-15,523
2014-2-15,642
2014-5-15,791
2014-8-15,806
2014-11-15,701
2015-2-15,512
2015-5-15,719
2015-8-15,896
2015-11-15,1562
2016-2-15,1738
2016-5-15,2283
2016-8-15,2627
2016-11-15,3568
2017-2-15,3064
2017-5-15,3894
2017-8-15,4707
2017-11-15,4268
2018-2-15,4988
2018-5-15,5106
2018-8-15,5137
2018-11-15,6882
2019-2-15,2429
2019-5-15,2616
2019-8-15,6091
2019-11-15,7349
2020-2-15,4902
2020-5-15,5178
2020-8-15,7846
2020-11-15,11219
2021-2-15,9497
2021-5-15,10394
2021-8-15,9194
2021-11-15,10285
2022-2-15,7465
2022-5-15,6687
2022-8-15,4395
2022-11-15,4652
